criterion,capacity,score,mean_recall,mean_precision,mean_boundary
Maximum mean F2,0.243,0.4991431757010852,0.6777365534313636,0.24307408891644267,0.11780834472892798
One-standard-error F2,0.213,0.4953566720465935,0.6384595763232755,0.2612691353461559,0.12964685109495294
Maximum mean F1,0.099,0.40450654163341343,0.4319043798581904,0.3804653437356892,0.20272686222652644
Maximum mean Youden J,0.263,0.4771547275389992,0.6984584897334651,0.23148618334341972,0.1101739597562897
