fold,n,positive,clusters,roc_auc,pr_auc,brier,mean_p
0,4862,195,110,0.7098427035431534,0.11313701091797983,0.03733569786780268,0.04195568770872851
1,4784,194,107,0.7484536082474227,0.13514121902063805,0.037389673194688305,0.04103420656197887
2,4815,199,108,0.7301068818964841,0.135803794246207,0.03814271808101421,0.04066311827668024
3,4871,196,112,0.6968159991269235,0.10734070080218605,0.03761223643428539,0.04158986932476301
4,4804,188,108,0.7117910874294775,0.11014603186588608,0.03650836343453243,0.04506549239115709
