fold,capacity,f2,recall,precision,boundary
0,0.21399999999999983,0.27472527472527475,0.5128205128205128,0.09615384615384616,0.06080445435812126
1,0.2529999999999998,0.297079556898288,0.6082474226804123,0.09752066115702479,0.05448872963823897
2,0.22499999999999984,0.2980308674827035,0.5628140703517588,0.10341643582640812,0.05813162381396122
3,0.41299999999999965,0.25044722719141327,0.7142857142857143,0.069617105917454,0.040219928675698936
4,0.21799999999999983,0.2723735408560311,0.5212765957446809,0.0936007640878701,0.0648054928336639
