analysis,n,positive,positive_proportion,mean_fold_roc_auc,sd_fold_roc_auc,mean_fold_pr_auc,sd_fold_pr_auc,pooled_roc_auc,pooled_pr_auc,pooled_brier,capacity,pooled_fold_recall
primary_reconstruction_5fold_oof,25491,2245,0.08807029932132909,0.8024073704986083,0.0028655247928361374,0.3689128159675855,0.0084018247257879,0.8023151527182779,0.36759482485797124,0.06744220289841829,0.243,0.6498886414253897
exclude_self_reported_prior_positive_5fold_oof,24136,972,0.04027179317202519,0.7194020560486922,0.020112334601608998,0.1203137513705794,0.013990920177944951,0.7190098442808587,0.11483699682737392,0.03739853035994477,0.243,0.5380658436213992
